mole fraction (or mole)
O2,2.94E-03
O2(a1Delta),1.77E-06
O2(b1Sigma),1.30E-06
O,7.01E-08
H2,9.61E-05
AR,9.96E-01
H,2.88E-07
CH4,7.72E-06
CH3,4.18E-06
CH2O,7.70E-06
CO2,1.02E-06
CO,1.56E-05
OH,8.47E-08
HO2,1.01E-06
H2O2,1.08E-07
H2O,7.04E-05
C2H2,1.64E-06
C2H4,1.07E-04
C2H5,3.90E-08
C2H6,3.77E-05
H2CCCH,1.04E-08
CH2CO,1.01E-06
CH2CHCHCH2,3.18E-07
CH3OH,4.96E-07
C4H10,2.36E-07
C4H8-1,2.35E-06
C4H8-2,2.00E-08
C4H7,9.07E-08
C3H6,6.89E-05
AC3H5,4.54E-07
CH2CHCHO,9.31E-07
PC3H4,4.10E-08
AC3H4,7.27E-07
CH3CHCO,3.98E-06
CH3HCO,2.73E-07
C3H8,3.43E-04
IC3H7,4.56E-07
NC3H7,8.05E-09
CH3CHCCH2,1.16E-08
CH3CH2CCH,1.01E-08
