Time(sec), Solver Maximum Step Time(sec)
0.0, 5.0E-9
4.0E-7, 0.0001
0.001, 5.0E-9
0.0010004, 0.0001
0.002, 5.0E-9
0.0020004, 0.0001
0.003, 5.0E-9
0.0030004, 0.0001
0.004, 5.0E-9
0.0040004, 0.0001
0.005, 5.0E-9
0.0050004, 0.0001
0.006, 5.0E-9
0.0060004, 0.0001
0.007, 5.0E-9
0.0070004, 0.0001
0.008, 5.0E-9
0.0080004, 0.0001
0.009, 5.0E-9
0.0090004, 0.0001
0.01, 5.0E-9
0.0100004, 0.0001
0.011, 5.0E-9
0.0110004, 0.0001
0.012, 5.0E-9
0.0120004, 0.0001
0.013, 5.0E-9
0.0130004, 0.0001
0.014, 5.0E-9
0.0140004, 0.0001
0.015, 5.0E-9
0.0150004, 0.0001
0.016, 5.0E-9
0.0160004, 0.0001
