C1    Ar    Effective (momentum)                                
E/N (Td)	Rate coefficient (m3/s)
0.1000	0.6008E-14
0.1259	0.7175E-14
0.1585	0.8562E-14
0.1995	0.1020E-13
0.2512	0.1214E-13
0.3162	0.1441E-13
0.3981	0.1711E-13
0.5012	0.2030E-13
0.6310	0.2410E-13
0.7943	0.2863E-13
1.000	0.3400E-13
1.259	0.4039E-13
1.585	0.4797E-13
1.995	0.5693E-13
2.512	0.6754E-13
3.162	0.7994E-13
3.981	0.9277E-13
5.012	0.1027E-12
6.310	0.1086E-12
7.943	0.1121E-12
10.00	0.1147E-12
12.59	0.1173E-12
15.85	0.1200E-12
19.95	0.1231E-12
25.12	0.1266E-12
31.62	0.1307E-12
39.81	0.1351E-12
50.12	0.1400E-12
63.10	0.1453E-12
79.43	0.1509E-12
100.0	0.1567E-12
200.0	0.1756E-12
300.0	0.1879E-12
400.0	0.1974E-12
500.0	0.2055E-12
600.0	0.2125E-12
700.0	0.2186E-12
800.0	0.2241E-12
900.0	0.2291E-12
1000.	0.2335E-12
 
 
C2    Ar    Excitation    11.50 eV                              
E/N (Td)	Rate coefficient (m3/s)
0.1000	0.000
0.1259	0.000
0.1585	0.000
0.1995	0.000
0.2512	0.000
0.3162	0.000
0.3981	0.000
0.5012	0.000
0.6310	0.000
0.7943	0.000
1.000	0.000
1.259	0.000
1.585	0.6832E-28
1.995	0.4532E-24
2.512	0.1851E-21
3.162	0.9851E-20
3.981	0.1250E-18
5.012	0.6177E-18
6.310	0.1773E-17
7.943	0.3834E-17
10.00	0.7156E-17
12.59	0.1233E-16
15.85	0.2027E-16
19.95	0.3235E-16
25.12	0.5055E-16
31.62	0.7762E-16
39.81	0.1173E-15
50.12	0.1743E-15
63.10	0.2549E-15
79.43	0.3672E-15
100.0	0.5226E-15
200.0	0.1444E-14
300.0	0.2576E-14
400.0	0.3855E-14
500.0	0.5236E-14
600.0	0.6684E-14
700.0	0.8171E-14
800.0	0.9671E-14
900.0	0.1117E-13
1000.	0.1264E-13
 
 
C3    Ar    Ionization    15.80 eV                              
E/N (Td)	Rate coefficient (m3/s)
0.1000	0.000
0.1259	0.000
0.1585	0.000
0.1995	0.000
0.2512	0.000
0.3162	0.000
0.3981	0.000
0.5012	0.000
0.6310	0.000
0.7943	0.000
1.000	0.000
1.259	0.000
1.585	0.000
1.995	0.000
2.512	0.000
3.162	0.000
3.981	0.000
5.012	0.1396E-28
6.310	0.5324E-26
7.943	0.5374E-24
10.00	0.2077E-22
12.59	0.3952E-21
15.85	0.4362E-20
19.95	0.3185E-19
25.12	0.1689E-18
31.62	0.6958E-18
39.81	0.2347E-17
50.12	0.6746E-17
63.10	0.1703E-16
79.43	0.3873E-16
100.0	0.8092E-16
200.0	0.5219E-15
300.0	0.1326E-14
400.0	0.2458E-14
500.0	0.3888E-14
600.0	0.5584E-14
700.0	0.7518E-14
800.0	0.9656E-14
900.0	0.1197E-13
1000.	0.1442E-13
 
 
Ar                                                              
E/N (Td)	Inelastic energy loss coefficient (eV m3/s)
0.1000	-0.2757-206
0.1259	-0.2956-206
0.1585	-0.3186-206
0.1995	-0.3449-206
0.2512	-0.3747-206
0.3162	-0.4086-206
0.3981	-0.4473-206
0.5012	-0.4924-206
0.6310	-0.5464-206
0.7943	-0.6118-206
1.000	-0.6913-206
1.259	-0.7870-206
1.585	0.7856E-27
1.995	0.5212E-23
2.512	0.2128E-20
3.162	0.1133E-18
3.981	0.1437E-17
5.012	0.7104E-17
6.310	0.2039E-16
7.943	0.4409E-16
10.00	0.8230E-16
12.59	0.1418E-15
15.85	0.2332E-15
19.95	0.3725E-15
25.12	0.5840E-15
31.62	0.9037E-15
39.81	0.1386E-14
50.12	0.2111E-14
63.10	0.3200E-14
79.43	0.4835E-14
100.0	0.7288E-14
200.0	0.2486E-13
300.0	0.5058E-13
400.0	0.8317E-13
500.0	0.1216E-12
600.0	0.1651E-12
700.0	0.2128E-12
800.0	0.2638E-12
900.0	0.3175E-12
1000.	0.3732E-12
 
 
